 album_name, album_id, artist_id
 Acústico MTV Tiago Iorc Ao Vivo,B1,A1
 Reconstrução,B2,A1
 Troco Likes Ao Vivo,B3,A1
 Troco Likes,B4,A1
 Novelas,B5,A1
 Zeski,B6,A1
 Umbilical,B7,A1
 Let Yourself In,B8,A1
 Let Yourself In,B9,A1
 Turnê Planeta Borboleta Ao Vivo,B10,A2
 Mariana Nolasco Sessions,B11,A2
 Mariana Nolasco,B12,A2
 Ana e Vitória Trilha Sonora Original Do Filme,B13,A3
 Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998,B14,A4
 A Arte De Cássia Eller,B15,A4
 O Espírito do Som Vol 1 Segredo,B16,A4
 Do Lado Do Avesso Cássia Eller SOLO,B17,A4
 Do Lado Do Avesso Cássia Eller SOLO Deluxe Edition,B18,A4
 Relicário,B19,A4
 Cassia Eller Ao Vivo no Rock in Rio,B20,A4
 Cássia Eller Sem Limite,B21,A4
 Dez De Dezembro,B22,A4
 Dez De Dezembro,B23,A4
 Acústico Ao Vivo,B24,A4
 Cássia Rock Eller,B25,A4
 Com Você Meu Mundo Ficaria Completo,B26,A4
 Veneno Vivo,B27,A4
 Musica Urbana O Melhor De Cassia Eller,B28,A4
 Veneno Antimonotonia,B29,A4
 Minha História,B30,A4
 Cassia Eller Ao Vivo,B31,A4
 Cássia Eller 1994,B32,A4
 O Marginal,B33,A4
 Cássia Eller,B34,A4
 Ao Redor do Precipício,B35,A5
 iCollection,B36,A5
2016,B37,A5
 Frejat Ao Vivo No Rock In Rio,B38,A5
 Dose Dupla Frejat,B39,A5
 Intimidade Entre Estranhos,B40,A5
 Sobre Nós Dois e o Resto do Mundo,B41,A5
 Amor pra Recomeçar,B42,A5
 Não Sou Nenhum Roberto Mas às Vezes Chego Perto,B43,A6
 Trinca de Ases Ao Vivo,B44,A7
 Turnê JardimPomar Rio de JaneiroRJ 12 e 13 de Maio de 2017 8 Ao Vivo,B45,A6
 Turnê JardimPomar SalvadorBA 07Maio2017 7 Ao Vivo,B46,A6
 Turnê JardimPomar BrasíliaDF 06052017 6 Ao Vivo,B47,A6
 Turnê JardimPomar Rio Grande do SulRS Abril 2017 5 Ao Vivo,B48,A6
 Turnê JardimPomar FortalezaCE 08Abril2017 4 Ao Vivo,B49,A6
 Turnê JardimPomar RecifePE 07Abril2017 03 Ao Vivo,B50,A6
 Turnê JardimPomar São PauloSP 1abril2017 02 Ao Vivo,B51,A6
 Turnê JardimPomar São PauloSP 31março2017 01 Ao Vivo,B52,A6
 Jardim Pomar,B53,A6
 Sei,B54,A6
 Nando Reis Voz e Violão No Recreio Vol 1 Ao Vivo Álbum Comentado,B55,A6
 Nando Reis Voz e Violão No Recreio Vol 1 Ao Vivo,B56,A6
 A Arte De Nando Reis,B57,A6
 Sei Como Foi em Bh,B58,A6
 iCollection,B59,A6
 Nando Reis E Os Infernais Bailão Do Ruivão Ao Vivo,B60,A6
 Dres,B61,A6
 Luau Ao Vivo Em São Paulo 2007,B62,A6
 Nando Reis Sem Limite,B63,A6
 Sim E Não,B64,A6
 Ao Vivo Live,B65,A6
 A Letra A,B66,A6
 InfernalBut Theres Still a Full Moon Shining Over Jalalabad,B67,A6
